Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"58 Dalmeny Street, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134954518,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Michelle Huston & Mark Kearns,https://i2.au.reastatic.net/150x200/8a5badd53f07ce76b47b57eae29859b7f95f6d303cd5ffcd19f9fcb8e3ef7b79/main.jpg,Sold,"$700,000 ",2,2,2, 549, m²,House,Sold on 15 Dec 2020
"162 Delathin Road, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134552078,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,JJ Macalino,https://i2.au.reastatic.net/150x200/ff4dfb2ff3dfb7b697b95528d13488de1e9bb4b7c3161609189e80a8926383a1/main.jpg,Sold,"$600,000 ",4,2,2, 570, m²,House,Sold on 11 Dec 2020
"20 Springwater Place, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134593030,https://i2.au.reastatic.net/340x64/adf93bc0d605e8633087ff6c0dd6cc7f4b72a2fb1a9c1cce4ee92b35d25d5a27/logo.jpg,Andrea Manson,https://i2.au.reastatic.net/150x200/d84dba87121258fcbe16e16964a8fdcfdffc8d25d9251dad2e3a8d3b102bee39/main.jpg,Sold,"$577,800 ",4,3,2, 604, m²,House,Sold on 11 Dec 2020
"8 Limewood Place, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134677090,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Gonnie Nahar,https://i2.au.reastatic.net/150x200/4b77daff58570d683861392867531fc6f0811c0323670d20e9620558abdfa930/main.jpg,Sold,"$515,100 ",3,1,3, 597, m²,House,Sold on 08 Dec 2020
"27 Owenia Street, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134593074,https://i2.au.reastatic.net/340x64/adf93bc0d605e8633087ff6c0dd6cc7f4b72a2fb1a9c1cce4ee92b35d25d5a27/logo.jpg,Andrea Manson,https://i2.au.reastatic.net/150x200/d84dba87121258fcbe16e16964a8fdcfdffc8d25d9251dad2e3a8d3b102bee39/main.jpg,Sold,"$546,500 ",4,2,2, 639, m²,House,Sold on 04 Dec 2020
"37 Owenia Street, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134633602,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jason Song,https://i2.au.reastatic.net/150x200/486f78bcd2dbd6b3d6ea693e89b0fa02b17dad40b1a666cb1ea6ea0d9fdf378d/main.jpg,Sold,"$480,000 ",3,1,2, 639, m²,House,Sold on 01 Dec 2020
"5 Daphine Place, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134652010,https://i2.au.reastatic.net/340x64/adf93bc0d605e8633087ff6c0dd6cc7f4b72a2fb1a9c1cce4ee92b35d25d5a27/logo.jpg,Andrea Manson,https://i2.au.reastatic.net/150x200/d84dba87121258fcbe16e16964a8fdcfdffc8d25d9251dad2e3a8d3b102bee39/main.jpg,Sold,"$535,000 ",3,1,1, 567, m²,House,Sold on 30 Nov 2020
"31 Collina Street, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134642366,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$490,000 ",3,1,1, 610, m²,House,Sold on 16 Nov 2020
"44 Dalmeny Street, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-133243870,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Gonnie Nahar,https://i2.au.reastatic.net/150x200/4b77daff58570d683861392867531fc6f0811c0323670d20e9620558abdfa930/main.jpg,Sold,"$549,000 ",3,2,2, 551, m²,House,Sold on 12 Nov 2020
"16 Carribin Street, Algester",https://www.realestate.com.au/sold/property-house-qld-algester-134419298,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Lynda Simpson,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$539,999 ",4,2,3, 660, m²,House,Sold on 07 Nov 2020
