Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"22 Yewleaf Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134926654,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$620,500",4,2,2,600,m²,House,Sold on 14 Dec 2020
"18 Gippsland Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134707190,https://i2.au.reastatic.net/340x64/5d007e613c5909613ad3307a437313a116534d92af28b969219b629f5c4aa954/logo.jpg,Henry Wong,https://i2.au.reastatic.net/150x200/b0fd4d27d191f62c95efdb4b50897da00e39b047d9fb7a7a5ab7176484890d90/main.jpg,Sold,"$602,500",4,2,2,,,House,Sold on 14 Dec 2020
"7/8 Earnshaw Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-134051238,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au & Edison Cui,https://i2.au.reastatic.net/150x200/7a4eda10303b159e1a24589aac9b24fafdbb547b72616f65060c92b1cf842db9/main.jpg,Sold,"$312,000",3,2,2,,,Townhouse,Sold on 10 Dec 2020
"14 Nabeel Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134158638,https://i2.au.reastatic.net/340x64/5d007e613c5909613ad3307a437313a116534d92af28b969219b629f5c4aa954/logo.jpg,Henry Wong,https://i2.au.reastatic.net/150x200/b0fd4d27d191f62c95efdb4b50897da00e39b047d9fb7a7a5ab7176484890d90/main.jpg,Sold,"$690,000",4,2,2,,,House,Sold on 30 Nov 2020
"10 Juxgold Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134495934,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,"$855,000",5,2,4,971,m²,House,Sold on 26 Nov 2020
"8 Mead Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134777006,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,"$520,000",4,2,2,439,m²,House,Sold on 25 Nov 2020
"9 Pinecroft Close, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134793086,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$780,000",4,3,2,791,m²,House,Sold on 17 Nov 2020
"8/88 Kameruka Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-132529386,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Peter Ou,https://i2.au.reastatic.net/150x200/8141596b0e32602d886e1636f7905ce1a3ae4bab5b9e8005827fb3177c09167a/main.jpg,Sold,"$281,000",3,1,1,185,m²,Townhouse,Sold on 06 Nov 2020
"11/35 Clarence Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-133999158,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jamal Naouri,https://i2.au.reastatic.net/150x200/6b9afc3f4457d2976c05f1f6ed2e4d7ecb50be71aca2805e7f81e30065cfd91d/main.jpg,Sold,"$417,500",3,2,2,,,Townhouse,Sold on 03 Nov 2020
"7 Chateau Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134495542,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,"$589,500",3,1,2,580,m²,House,Sold on 02 Nov 2020
"22 Bellflower Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-134212646,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,"$718,000",4,2,2,737,m²,House,Sold on 26 Oct 2020
"10/8 Gemview Street, Calamvale",https://www.realestate.com.au/sold/property-unit-qld-calamvale-134680766,https://i2.au.reastatic.net/340x64/a5dd7856df99700d2574cd2199070733a0e6cc69f2b804ffe8b6d2e812789e4d/logo.jpg,Welly Cendana,https://i2.au.reastatic.net/150x200/ae8dbb765a53e4d65190ca1568c2bd67c0e22c0533c3c440c7a65d5d73146096/main.jpg,Sold,"$290,000",3,2,1,,m²,Unit,Sold on 23 Oct 2020
