Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"105 Middle Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134568006,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$575,000 ",4,3,2,663,m²,House,Sold on 07 Dec 2020
"73 Evenwood Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134625226,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$430,000 ",3,1,2,607,m²,House,Sold on 01 Dec 2020
"14 Nyleta Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134726894,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$723,000 ",5,2,2,809,m²,House,Sold on 23 Nov 2020
"98 Orange Grove Road, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134750030,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$487,000 ",4,2,2,405,m²,House,Sold on 21 Nov 2020
"111/26 Macgroarty Street, Coopers Plains",https://www.realestate.com.au/sold/property-townhouse-qld-coopers+plains-134406250,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Alex Fan,https://i2.au.reastatic.net/150x200/89ea9dc363279d17c57260f549b1fdf2309b4a1f61ed583a317491b39fe38fc8/main.jpg,Sold,"$380,000 ",2,2,2,156,m²,Townhouse,Sold on 07 Nov 2020
"96 Dartmouth Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134446810,https://i2.au.reastatic.net/340x64/5b7d4f9c83bc1011c9a579e3149b4c68b0d341e153c577022bb82418e5158440/logo.gif,Mark Ward,https://i2.au.reastatic.net/150x200/6535452dd73b0164f8e45e24045162c60a05dbd49c95a8ffa31a359e2162b87e/main.jpg,Sold,"$592,500 ",4,2,1,405,m²,House,Sold on 21 Oct 2020
"67 Highgate Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134465610,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$610,000 ",3,1,3,673,m²,House,Sold on 17 Oct 2020
"65 Dartmouth Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134131754,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",James Austin,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$685,000 ",3,2,2,405,m²,House,Sold on 28 Sep 2020
"51 Baroda Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134171838,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$662,500 ",4,2,2,651,m²,House,Sold on 25 Sep 2020
"74 Highgate Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134089174,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$761,000 ",4,2,4,405,m²,House,Sold on 23 Sep 2020
"169 Highgate Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-127923642,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Anton Silaen,https://i2.au.reastatic.net/150x200/a7787f19c4c1b919a130bd0ff749cc11724987434109ae990fe956c37889bfb1/main.jpg,Sold,"$668,000 ",4,2,3,809,m²,House,Sold on 29 Aug 2020
"115 Highgate Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134120222,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$530,000 ",4,1,7,607,m²,House,Sold on 29 Aug 2020
"83 Evenwood Street, Coopers Plains",https://www.realestate.com.au/sold/property-residential+land-qld-coopers+plains-202763798,https://i2.au.reastatic.net/340x64/56f75016168e20802930f5db3debf369072e595ef4030eff6f692883ab48a032/logo.jpg,Mark Diamond,https://i2.au.reastatic.net/150x200/8523e75e73f722be21df748d1e4b2c225684f80b4de18dd01c0f0a0449817739/main.jpg,Sold,"$365,000 ",,,,400,m²,Residential Land,Sold on 29 Aug 2020
"58 Nyleta Street, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-133339430,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$590,000 ",4,2,2,405,m²,House,Sold on 27 Aug 2020
"14 Ferguson Place, Coopers Plains",https://www.realestate.com.au/sold/property-house-qld-coopers+plains-134072158,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Bevin Powell,https://i2.au.reastatic.net/150x200/f7e85ba031761b4250983962ad64885a70defc7a59851ed51239dc591323ccf0/main.jpg,Sold,"$600,000 ",4,2,4,496,m²,House,Sold on 22 Aug 2020
