Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"68 Demigre Street, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134668070,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,George Yang,https://i2.au.reastatic.net/150x200/356bd44b66b2940daa22e00b80ef84bf37b2d8eff6c08da10f91318a9abf60d9/main.jpg,Sold,"$1,380,000",5,3,2,600,m²,House,Sold on 14 Dec 2020
"14 Boorala Crescent, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134420006,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,George Yang,https://i2.au.reastatic.net/150x200/356bd44b66b2940daa22e00b80ef84bf37b2d8eff6c08da10f91318a9abf60d9/main.jpg,Sold,"$750,000",4,2,2,758,m²,House,Sold on 14 Dec 2020
"19/16 Violet Close, Eight Mile Plains",https://www.realestate.com.au/sold/property-townhouse-qld-eight+mile+plains-134602462,https://i2.au.reastatic.net/340x64/2e43ff03d4a7a3e86cc93bb6512cecd122c21595051ba6eef58063b56fcdf7f0/logo.gif,Ricky Tan,https://i2.au.reastatic.net/150x200/eafcaf12412361cedac9fcac9a1efa60cd32291f745ca240ddce6a86d62935d9/main.jpg,Sold,"$388,000",3,2,1,125,m²,Townhouse,Sold on 14 Dec 2020
"34 Greenlaw Place, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134368546,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jason Song,https://i2.au.reastatic.net/150x200/486f78bcd2dbd6b3d6ea693e89b0fa02b17dad40b1a666cb1ea6ea0d9fdf378d/main.jpg,Sold,"$645,000",4,2,2,450,m²,House,Sold on 10 Dec 2020
"33 Maisie Place, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134054386,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Dianne Deem,https://i2.au.reastatic.net/150x200/3280a45c348dad6c07923b7986274f0c6745b2eb54a3e441c3e4def220ff29ae/main.jpg,Sold,"$760,500",4,2,2,735,m²,House,Sold on 02 Dec 2020
"304/66 Slobodian Avenue, Eight Mile Plains",https://www.realestate.com.au/sold/property-apartment-qld-eight+mile+plains-134547562,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$408,000",2,2,1,,,Apartment,Sold on 01 Dec 2020
"23 Dromos Street, Eight Mile Plains",https://www.realestate.com.au/sold/property-residential+land-qld-eight+mile+plains-202804246,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Lachlan Smith,https://i2.au.reastatic.net/150x200/579d58db253bc6632f73e97d2b5c9117b39bd1226aa6871145be9acc6e20fe68/main.jpg,Sold,"$508,000",,,,413,m²,Residential Land,Sold on 13 Nov 2020
"17 Savanna Place, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134077790,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Benny Liu,https://i2.au.reastatic.net/150x200/2df9bcf70011590cf91e162fc96320d5310577d3017639a5b24131a49111f671/main.jpg,Sold,"$620,000",4,2,2,454,m²,House,Sold on 04 Nov 2020
"28/359 Warrigal Road, Eight Mile Plains",https://www.realestate.com.au/sold/property-villa-qld-eight+mile+plains-134230334,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$359,000",3,1,1,,,Villa,Sold on 02 Nov 2020
"39/26 Buckingham Place, Eight Mile Plains",https://www.realestate.com.au/sold/property-townhouse-qld-eight+mile+plains-134658670,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$370,000",3,2,1,,,Townhouse,Sold on 29 Oct 2020
"52/88 Bleasby Road, Eight Mile Plains",https://www.realestate.com.au/sold/property-townhouse-qld-eight+mile+plains-134450762,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$392,200",3,2,1,,,Townhouse,Sold on 19 Oct 2020
"60/25 Buckingham Place, Eight Mile Plains",https://www.realestate.com.au/sold/property-townhouse-qld-eight+mile+plains-133527458,https://i2.au.reastatic.net/340x64/5b7d4f9c83bc1011c9a579e3149b4c68b0d341e153c577022bb82418e5158440/logo.gif,Kelly Pack,https://i2.au.reastatic.net/150x200/dc2c9964ca1ab90f2402b39d8d8ac0b22fc7fe9192d7a40c18899c47388f8d13/main.jpg,Sold,"$358,000",3,2,1,,,Townhouse,Sold on 15 Oct 2020
"3/16 Violet Close, Eight Mile Plains",https://www.realestate.com.au/sold/property-townhouse-qld-eight+mile+plains-132910470,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,Trent Ray,https://i2.au.reastatic.net/150x200/db841b83cca4b29682a67e744340afffdbb97963f76fb08352c6556423dda4c0/main.jpg,Sold,"$375,000",3,2,1,,,Townhouse,Sold on 13 Oct 2020
"9 Boorala Crescent, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134423806,https://i2.au.reastatic.net/340x64/7f0b88f7ac3214435154340783c9d63880b9351a4835900828ce8ea4262ffad5/logo.jpg,Fraser Bearcroft,https://i2.au.reastatic.net/150x200/8d6e323dc08a630a99e53b70f0cb750c88e64eaf9286611e6780e6ba22c85fc5/main.jpg,Sold,"$693,000",4,2,2,600,m²,House,Sold on 12 Oct 2020
"39 McGarry Street, Eight Mile Plains",https://www.realestate.com.au/sold/property-house-qld-eight+mile+plains-134352786,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$805,000",5,2,2,644,m²,House,Sold on 11 Oct 2020
