Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"14 Saint Davids Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134561554,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$414,500",3,1,3,,,House,Sold on 07 Dec 2020
"31 Edwin Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134368838,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Zishaan Omar,https://i2.au.reastatic.net/150x200/69a4fec09f67030e7d7d0ddf31b84beb7c9fcfc1d6930e729d046deaf2a5f369/main.jpg,Sold,"$837,000",4,3,2,480,m²,House,Sold on 01 Dec 2020
"67 Rising Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-130846462,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Zishaan Omar,https://i2.au.reastatic.net/150x200/69a4fec09f67030e7d7d0ddf31b84beb7c9fcfc1d6930e729d046deaf2a5f369/main.jpg,Sold,"$681,000",4,2,2,501,m²,House,Sold on 01 Dec 2020
"9/2A Alpita Street, Kuraby",https://www.realestate.com.au/sold/property-townhouse-qld-kuraby-134800306,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$292,000",3,2,1,,,Townhouse,Sold on 23 Nov 2020
"33 Sheffield Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134709330,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$615,000",4,2,4,680,m²,House,Sold on 15 Nov 2020
"16 St Patrick Avenue, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-133934250,https://i2.au.reastatic.net/340x64/94a68dc77119e4fcd38eff2ce2d375ae09f70c4a0d0f8e0108111a0f883f7c4f/logo.jpg,Olive King,https://i2.au.reastatic.net/150x200/1ba60cf2cd8a8f954ecd4361da46d1446bed24e2f91d5b89290048261799c638/main.jpg,Sold,"$290,000",3,1,1,405,m²,House,Sold on 06 Nov 2020
"46 Altoft Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134615062,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$685,000",4,2,2,675,m²,House,Sold on 03 Nov 2020
"10 Westpark Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134240730,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$1,320,000",6,3,3,704,m²,House,Sold on 13 Oct 2020
"20 Parkhurst Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134302606,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$875,000",6,3,2,645,m²,House,Sold on 12 Oct 2020
"87 St Andrew Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132958366,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Lachlan Smith,https://i2.au.reastatic.net/150x200/579d58db253bc6632f73e97d2b5c9117b39bd1226aa6871145be9acc6e20fe68/main.jpg,Sold,"$400,000",3,1,1,405,m²,House,Sold on 12 Oct 2020
"5 Gymea Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134258574,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Happy Helen,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$720,000",4,2,2,760,m²,House,Sold on 09 Oct 2020
"148 Rubicon Cres, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-130099902,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$580,000",4,2,3,711,m²,House,Sold on 30 Sep 2020
"22 Lily Circuit, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134212278,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$870,000",5,2,4,600,m²,House,Sold on 28 Sep 2020
"6 Winifred Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-133839474,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$489,000",4,2,2,487,m²,House,Sold on 17 Sep 2020
"39 Altoft Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-134175034,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$710,000",4,2,2,753,m²,House,Sold on 15 Sep 2020
