Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"35 Jandowae Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-134517502,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,George Yang,https://i2.au.reastatic.net/150x200/356bd44b66b2940daa22e00b80ef84bf37b2d8eff6c08da10f91318a9abf60d9/main.jpg,Sold,"$970,500",5,3,2,778,m²,House,Sold on 14 Dec 2020
"294 Daw Road, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-134520622,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Zishaan Omar,https://i2.au.reastatic.net/150x200/69a4fec09f67030e7d7d0ddf31b84beb7c9fcfc1d6930e729d046deaf2a5f369/main.jpg,Sold,"$775,000",4,2,3,"1,012",m²,House,Sold on 01 Dec 2020
"30 Oakville Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-134029110,https://i2.au.reastatic.net/340x64/3bfd13bf06c0b6cd5d2df00fc8cca20facbf979baccf2626c8bc7eacdebd1385/logo.gif,Jennifer Qian,https://i2.au.reastatic.net/150x200/3bfa6f362c8a89e3f7e3e7ab275b6b44ce5f9e18fed363bb369c95831a02585b/main.jpg,Sold,"$740,000",4,2,2,766,m²,House,Sold on 27 Nov 2020
"15/9 Hillview Street, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-134587662,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Gaby McEwan,https://i2.au.reastatic.net/150x200/f15c606f1930a6ec8cb8aa69185bceef4deaf6e070b7fb1e775c5ec50013be40/main.jpg,Sold,"$367,000",3,2,2,,,Townhouse,Sold on 27 Nov 2020
"278 Daw Road, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-134294302,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,John Heng,https://i2.au.reastatic.net/150x200/b844c2a385816ce76e1e55a9f2e4e6050e84e96603b3324546edcaa0e4c5450b/main.jpg,Sold,"$568,000",3,1,2,670,m²,House,Sold on 26 Nov 2020
"38/16 Lakefield Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-134811730,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$329,000",3,2,1,,,Townhouse,Sold on 26 Nov 2020
"15/16 Lakefield Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-134425182,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Gonnie Nahar,https://i2.au.reastatic.net/150x200/4b77daff58570d683861392867531fc6f0811c0323670d20e9620558abdfa930/main.jpg,Sold,"$305,000",3,2,1,129,m²,Townhouse,Sold on 23 Nov 2020
"3 Lindstrom Court, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-134616374,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Benny Liu,https://i2.au.reastatic.net/150x200/2df9bcf70011590cf91e162fc96320d5310577d3017639a5b24131a49111f671/main.jpg,Sold,"$615,000",4,2,2,,,House,Sold on 20 Nov 2020
"19/60 Lakefield Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-131243242,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$400,000",3,2,1,,,Townhouse,Sold on 12 Nov 2020
"36/134 Hill Road, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-134664118,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Andrew Boman,https://i2.au.reastatic.net/150x200/e45fc8b544c1bf8bc4b0719b2009ed81cce324698c2869d1894b3af6f639f3cd/main.jpg,Sold,"$255,000",3,2,1,,,Townhouse,Sold on 10 Nov 2020
