Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"68 Everest Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-134773882,https://i2.au.reastatic.net/340x64/363ba2bfa1b911d4b3cec7d35d79cdf7ae3420dd64a32a271b620591984796a6/logo.gif,Dan Lal,https://i2.au.reastatic.net/150x200/9638900ec2c79a89907f42399bdec95476307b18fa02f66e718f23cd4cb351a9/main.jpg,Sold,"$615,000 ",2,1,1,635,m²,House,Sold on 26 Nov 2020
"10 Chalmers Place, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-134491502,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Emily Xiong,https://i2.au.reastatic.net/150x200/d8a1d93a0740bbbaa88c5015863d2dae840ad32be0df2268776899c24f90735e/main.jpg,Sold,"$1,300,000 ",6,4,8,720,m²,House,Sold on 04 Nov 2020
"215 Turton Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-134097274,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$600,000 ",3,1,1,607,m²,House,Sold on 20 Oct 2020
"501 Beenleigh Road, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133708514,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Peter Florentzos,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$520,000 ",3,1,4,607,m²,House,Sold on 17 Oct 2020
"8/81 Mccullough Street, Sunnybank",https://www.realestate.com.au/sold/property-townhouse-qld-sunnybank-134266578,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,John Heng,https://i2.au.reastatic.net/150x200/b844c2a385816ce76e1e55a9f2e4e6050e84e96603b3324546edcaa0e4c5450b/main.jpg,Sold,"$400,888 ",3,2,1,165,m²,Townhouse,Sold on 09 Oct 2020
"8 RENNIKS ST, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-134455286,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Estelle Lin,https://i2.au.reastatic.net/150x200/e9a327ebfc868a61087ff3a3d25630c7cfc20e6af0cc7a2f6090bc80e3473fe5/main.jpg,Sold,"$682,000 ",3,1,2,597,m²,House,Sold on 02 Oct 2020
"10 Edith Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-134111710,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$970,000 ",4,2,4,"1,151",m²,House,Sold on 30 Sep 2020
"80 Everest Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133578054,https://i2.au.reastatic.net/340x64/5d007e613c5909613ad3307a437313a116534d92af28b969219b629f5c4aa954/logo.jpg,Henry Wong,https://i2.au.reastatic.net/150x200/b0fd4d27d191f62c95efdb4b50897da00e39b047d9fb7a7a5ab7176484890d90/main.jpg,Sold,"$675,000 ",3,2,2,612,m²,House,Sold on 17 Sep 2020
"7 Dema Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-134018110,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$968,000 ",4,3,2,859,m²,House,Sold on 08 Sep 2020
"13 Naldi Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133357562,https://i2.au.reastatic.net/340x64/530f4c9b8f30b72e42e960cdf8d1a22a8d19ac590650f2afffd2c7fe69f71616/logo.gif,Tom Zhang,https://i2.au.reastatic.net/150x200/efdce063c147e81d72f1a7115179be4faeca57fbe6ae0b810f1008582181b18b/main.jpg,Sold,"$1,100,000 ",6,4,4,540,m²,House,Sold on 02 Sep 2020
"4A Loben Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133278102,https://i2.au.reastatic.net/340x64/6aaba0b58332eeb1b01f9aaf5c19bcbb8744b8afb16b9d95f6955dd0f02d0e57/logo.gif,Leo Liu,https://i2.au.reastatic.net/150x200/148edaad2ccc4e5e7f683b0e5f2307b587a06b7f1bd84d2caca15a6925e8c81d/main.jpg,Sold,"$1,285,000 ",5,5,2,506,m²,House,Sold on 28 Aug 2020
"14/68 Comley Street, Sunnybank",https://www.realestate.com.au/sold/property-townhouse-qld-sunnybank-132480974,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Tony Jin,https://i2.au.reastatic.net/150x200/0336517b867a418d744c8d0fa7d189667784596dbddbbd778280765da672feaf/main.jpg,Sold,"$430,000 ",3,2,1,,,Townhouse,Sold on 05 Aug 2020
"25a Stones Road, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133847218,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Harry Imam,https://i2.au.reastatic.net/150x200/4c6a8c7a05b806049b02a3a307fdc56c68b729def3b0b490d27e8f791880ce30/main.jpg,Sold,"$655,000 ",3,1,1,"1,154",m²,House,Sold on 30 Jul 2020
"69 Albyn Road, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-132983202,https://i2.au.reastatic.net/340x64/530f4c9b8f30b72e42e960cdf8d1a22a8d19ac590650f2afffd2c7fe69f71616/logo.gif,Jim Zheng,https://i2.au.reastatic.net/150x200/a733a09f1901134968b2a7350fe2e0ce384a8eae51838607a570317a9f96aa28/main.jpg,Sold,"$880,000 ",4,3,4,454,m²,House,Sold on 27 Jul 2020
"123 Turton Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-132909842,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$1,352,000 ",6,4,3,"1,004",m²,House,Sold on 22 Jul 2020
"15 Pankina St, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133816122,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Yvonne Huang,https://i2.au.reastatic.net/150x200/9996ef9dec9de1a2f972aff4c5f2925f8c70c024572c0480d0399240e0ac806a/main.jpg,Sold,"$700,000 ",3,2,2,615,m²,House,Sold on 11 Jul 2020
"121 Dunedin Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133192054,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Estelle Lin,https://i2.au.reastatic.net/150x200/e9a327ebfc868a61087ff3a3d25630c7cfc20e6af0cc7a2f6090bc80e3473fe5/main.jpg,Sold,"$839,888 ",4,2,2,850,m²,House,Sold on 08 Jul 2020
"19 Breton Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133670854,https://i2.au.reastatic.net/340x64/c467b37e45b28ba80badae3723401567d7646c64189090bd2a7f010d6fe755cb/logo.jpg,PJ Salami,https://i2.au.reastatic.net/150x200/384477cafbdb4767f2fc09b802dbc3265e20478312f580bb27bfee959b1a4526/main.jpg,Sold,"$492,500 ",3,1,,551,m²,House,Sold on 06 Jul 2020
"7 Pember Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133533778,https://i2.au.reastatic.net/340x64/23f9286122ee806198a1fd2c9b18994d058235263833ab8e478198c80b6550d2/logo.jpg,Adam Scott,https://i2.au.reastatic.net/150x200/dfa54a9ad4d111cb269eb077b5ce3835223bb030a7902c7eeabb4167eca09290/main.jpg,Sold,"$640,000 ",3,1,1,546,m²,House,Sold on 01 Jul 2020
"54 Altandi Street, Sunnybank",https://www.realestate.com.au/sold/property-house-qld-sunnybank-133791702,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Tina Guo,https://i2.au.reastatic.net/150x200/f5bd2b2eeebcf379fa07a87be9d0005a4b454580b4bd4cb65fb7f88376dcb028/main.jpg,Sold,"$500,000 ",3,1,2,548,m²,House,Sold on 25 Jun 2020
