Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"18 Seafern Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134753410,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$669,000",3,2,4,647,m²,House,Sold on 30 Nov 2020
"12 Dumaresq Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134240310,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,BROOKE COLLEDGE,https://i2.au.reastatic.net/150x200/25fd6cc6394ddf829482350e6a8035684cb54527567d7aa3e7170441910c17d4/main.jpg,Sold,"$630,000",3,2,3,683,m²,House,Sold on 28 Nov 2020
"42 Marong St, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134634426,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$810,000",4,2,3,959,m²,House,Sold on 12 Nov 2020
"31 Pompadour Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134406982,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$780,000",5,3,2,689,m²,House,Sold on 12 Nov 2020
"17 Lynelle Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134302586,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$845,000",4,2,2,600,m²,House,Sold on 09 Nov 2020
"26 Excelsa Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134329426,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Wayne Morgan,https://i2.au.reastatic.net/150x200/fafc9e5ef13113b2dd5b4787478421b9b80c2bb127bbfe413f3e844f6feabfd8/main.jpg,Sold,"$675,000",4,2,2,713,m²,House,Sold on 05 Nov 2020
"17 Merriwa Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134564678,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Helen Telfer,https://i2.au.reastatic.net/150x200/cb72db503ed1b05c107ad3e9df38eeb96700909570a0c26c814d81b6606e9581/main.jpg,Sold,"$657,500",3,2,2,664,m²,House,Sold on 03 Nov 2020
"19 Clovelly Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-134451438,https://i2.au.reastatic.net/340x64/5d007e613c5909613ad3307a437313a116534d92af28b969219b629f5c4aa954/logo.jpg,Sameer Gutta,https://i2.au.reastatic.net/150x200/f2940d3628a57e226f82d229b8a2767745b956b75d2bd041d447e12d2bf2c9d7/main.jpg,Sold,"$460,000",3,1,2,703,m²,House,Sold on 02 Nov 2020
"47 Jackson Road, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-133094290,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$530,000",4,2,5,629,m²,House,Sold on 26 Oct 2020
"4/8 Charnwood Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-townhouse-qld-sunnybank+hills-134165934,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Darren Bonehill,https://i2.au.reastatic.net/150x200/be8d94eb60cfdb7728f28b5933a7aa92357d7262abea2e88c752eae591dd6424/main.jpg,Sold,"$370,000",3,2,1,153,m²,Townhouse,Sold on 22 Oct 2020
