Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"4/55 Lumley Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-unit-qld-upper+mount+gravatt-132321194,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Scott Hay,https://i2.au.reastatic.net/150x200/f07bf1f16f0c37a9456793deecf0e56c73cc4ab5ab85e42f5e784e90d9799bf7/main.jpg,Sold,"$400,000",2,2,1,,,Unit,Sold on 15 Dec 2020
"25 Prenzler Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134593194,https://i2.au.reastatic.net/340x64/5d007e613c5909613ad3307a437313a116534d92af28b969219b629f5c4aa954/logo.jpg,Henry Wong,https://i2.au.reastatic.net/150x200/b0fd4d27d191f62c95efdb4b50897da00e39b047d9fb7a7a5ab7176484890d90/main.jpg,Sold,"$1,290,000",5,3,4,814,m²,House,Sold on 07 Dec 2020
"37 Somerfield Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134866410,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Tony Langanis,https://i2.au.reastatic.net/150x200/296da3fd5738bc86246ed850872c3467bf6f805be444b1c46287f35764baf019/main.jpg,Sold,"$1,008,000",5,3,2,405,m²,House,Sold on 04 Dec 2020
"134 Mount Gravatt Capalaba Road, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134696286,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Lachlan Smith,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$505,000",3,1,2,688,m²,House,Sold on 30 Nov 2020
"31 Wanda Road, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134791274,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Grant Boman,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$920,000",4,2,2,414,m²,House,Sold on 27 Nov 2020
"33/18 Mascar Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-apartment-qld-upper+mount+gravatt-134724894,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Kosma Comino,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$320,000",2,2,1,,,Apartment,Sold on 16 Nov 2020
"28 Lynmouth Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134797666,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",James Austin,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$645,000",2,1,3,612,m²,House,Sold on 10 Nov 2020
"93 Lindwall Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134086162,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Darren Bonehill,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$575,000",3,1,1,486,m²,House,Sold on 04 Nov 2020
"8 Derwent Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134769514,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Damian Cochrane,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$643,000",3,1,1,607,m²,House,Sold on 02 Nov 2020
"52 Cremin Street, Upper Mount Gravatt",https://www.realestate.com.au/sold/property-house-qld-upper+mount+gravatt-134596038,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Peter Florentzos,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$738,000",4,2,2,582,m²,House,Sold on 31 Oct 2020
