Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"98 Kavanagh Road, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-134841930,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Andrew Boman,https://i2.au.reastatic.net/150x200/e45fc8b544c1bf8bc4b0719b2009ed81cce324698c2869d1894b3af6f639f3cd/main.jpg,Sold,"$862,000",4,2,2,703,m²,House,Sold on 27 Nov 2020
"5/11 Mahina Place, Wishart",https://www.realestate.com.au/sold/property-unit-qld-wishart-119505163,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Andrew Boman,https://i2.au.reastatic.net/150x200/e45fc8b544c1bf8bc4b0719b2009ed81cce324698c2869d1894b3af6f639f3cd/main.jpg,Sold,"$390,000",3,2,2,,,Unit,Sold on 24 Nov 2020
"17/20 Flamingo Close, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-134142982,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,James Austin,https://i2.au.reastatic.net/150x200/e5d70ba91956a35ba4e9696f11dba43e92fa3c025a99c53d6515e681b001fad9/main.jpg,Sold,"$450,000",3,2,2,162,m²,Townhouse,Sold on 23 Nov 2020
"19 Lexington Place, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-134777470,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,James Austin,https://i2.au.reastatic.net/150x200/e5d70ba91956a35ba4e9696f11dba43e92fa3c025a99c53d6515e681b001fad9/main.jpg,Sold,"$850,000",5,3,4,723,m²,House,Sold on 13 Nov 2020
"333 Wishart Road, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-134535558,https://i2.au.reastatic.net/340x64/3fbb0a1151f78609d030b6d209df92eb1f048c70a965d23618004befe58575a8/logo.jpg,Brad Sissons,https://i2.au.reastatic.net/150x200/34b770ac2cad166439b13557cf4d23c4790d6e3c356946b2e4216e3ddb2a25a1/main.jpg,Sold,"$1,120,000",4,2,2,600,m²,House,Sold on 12 Nov 2020
"9/35 Lani Street, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-134652126,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ken Chin,https://i2.au.reastatic.net/150x200/a77f0e349b4d7fd48849531a42f35ca73c5a2f7139185f1105d7618618ccdc38/main.jpg,Sold,"$372,500",3,1,1,,,Townhouse,Sold on 11 Nov 2020
"29 Denton Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-134496270,,,,Sold,"$945,000",4,4,6,632,m²,House,Sold on 09 Nov 2020
"22/19 Fulton Street, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-134776682,https://i2.au.reastatic.net/340x64/2428f5b556d11b8b8ee508f0bcdeb2adea5a3c3ef28b644ee667331ecb3bf81d/logo.gif,Amorita Kluyts,https://i2.au.reastatic.net/150x200/fb3e12ea1606734091eae287b4913e966c2fdcb19cd1c26370e83cd9bb32c443/main.jpg,Sold,"$400,000",3,1,1,147,m²,Townhouse,Sold on 09 Nov 2020
"76 Garie Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-134392122,https://i2.au.reastatic.net/340x64/5d007e613c5909613ad3307a437313a116534d92af28b969219b629f5c4aa954/logo.jpg,Henry Wong,https://i2.au.reastatic.net/150x200/b0fd4d27d191f62c95efdb4b50897da00e39b047d9fb7a7a5ab7176484890d90/main.jpg,Sold,"$677,000",4,1,2,549,m²,House,Sold on 07 Nov 2020
"575 Mount Gravatt Capalaba Road, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-134094966,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$552,800",3,1,2,660,m²,House,Sold on 02 Nov 2020
